2008-04-01 //// //// ////
2009-07-13 103 157 260
2009-07-14 0 0 0
2009-07-15 0 0 0
2009-07-16 0 0 0
2009-07-17 0 0 0
2009-07-18 0 0 0
2009-07-19 0 0 0
2009-07-20 0 0 0
2009-07-21 0 0 0
2009-07-22 7 178 185
2009-07-23 1 0 1
2009-07-24 0 0 0
2009-07-25 124 0 124
2009-07-26 0 0 0
2009-07-27 0 0 0
2009-07-28 28 0 28
2009-07-29 0 0 0
2009-07-30 0 0 0
2009-07-31 1 0 1
2009-08-01 0 0 0
2009-08-02 0 0 0
2009-08-03 83 137 220
2009-08-04 5 1 6
2009-08-05 26 6 32
2009-08-06 0 0 0
2009-08-07 3 0 3
2009-08-08 1 10 11
2009-08-09 0 0 0
2009-08-10 0 0 0
2009-08-11 0 0 0
2009-08-12 0 0 0
2009-08-13 0 0 0
2009-08-14 908 0 908
2009-08-15 0 0 0
2009-08-16 0 30 30
2009-08-17 136 1 137
2009-08-18 0 0 0
2009-08-19 0 0 0
2009-08-20 0 0 0
2009-08-21 0 84 84
2009-08-22 5 5 10
2009-08-23 0 0 0
2009-08-24 0 0 0
2009-08-25 0 0 0
2009-08-26 0 0 0
2009-08-27 0 0 0
2009-08-28 0 0 0
2009-08-29 330 47 377
2009-08-30 0 0 0
2009-08-31 0 0 0
2009-09-01 0 0 0
2009-09-02 0 0 0
2009-09-03 0 0 0
2009-09-04 0 0 0
2009-09-05 0 0 0
2009-09-06 0 0 0
2009-09-07 2 16 18
2009-09-08 0 0 0
2009-09-09 0 0 0
2009-09-10 0 0 0
2009-09-11 0 0 0
2009-09-12 0 34 34
2009-09-13 17 146 163
2009-09-14 117 11 128
2009-09-15 0 0 0
2009-09-16 19 1 20
2009-09-17 0 0 0
2009-09-18 2 0 2
2009-09-19 19 76 95
2009-09-20 252 5 257
2009-09-21 0 0 0
2009-09-22 0 0 0
2009-09-23 0 0 0
2009-09-24 0 5 5
2009-09-25 0 0 0
2009-09-26 0 0 0
2009-09-27 0 0 0
2009-09-28 0 0 0
2009-09-29 0 0 0
2009-09-30 0 0 0
2009-10-01 0 0 0
2009-10-02 0 0 0
2009-10-03 0 0 0
2009-10-04 0 5 5
2009-10-05 1 0 1
2009-10-06 0 0 0
2009-10-07 14 7 21
2009-10-08 5 0 5
2009-10-09 5 5 10
2009-10-10 19 33 52
2009-10-11 4 2 6
2009-10-12 7 0 7
2009-10-13 0 0 0
2009-10-14 0 0 0
2009-10-15 0 0 0
2009-10-16 0 0 0
2009-10-17 0 0 0
2009-10-18 0 0 0
2009-10-19 0 0 0
2009-10-20 0 0 0
2009-10-21 0 0 0
2009-10-22 0 0 0
2009-10-23 0 0 0
2009-10-24 0 0 0
2009-10-25 0 0 0
2009-10-26 0 0 0
2009-10-27 0 0 0
2009-10-28 0 0 0
2009-10-29 0 0 0
2009-10-30 0 0 0
2009-10-31 98 1 99
2010-04-01 0000 //// ////
2010-04-02 0000 //// ////
2010-04-03 0000 //// ////
2010-04-04 0000 //// ////
2010-04-05 0000 //// ////
2010-04-06 //// //// ////
2010-04-07 0000 //// ////
2010-04-08 0000 //// ////
2010-04-09 //// //// ////
2010-04-10 0000 //// ////
2010-04-11 0000 //// ////
2010-04-12 0000 //// ////
2010-04-13 //// //// ////
2010-04-14 0000 //// ////
2010-04-15 0657 //// 0657
2010-04-16 0000 //// ////
2010-04-17 0000 //// ////
2010-04-18 0000 //// ////
2010-04-19 0 2 2
2010-04-20 5 230 235
2010-04-21 202 94 296
2010-04-22 37 17 54
2010-04-23 1 2 3
2010-04-24 1 2 3
2010-04-25 0 1 1
2010-04-26 0001 //// 0001
2010-04-27 0000 //// ////
2010-04-28 0000 //// ////
2010-04-29 0000 //// ////
2010-04-30 //// //// ////
2010-07-01 //// //// ////
2010-07-02 //// //// ////
2010-07-03 //// //// ////
2010-07-04 //// //// ////
2010-07-05 //// //// ////
2010-07-06 //// //// ////
2010-07-07 //// //// ////
2010-07-08 //// //// ////
2010-07-09 //// //// ////
2010-07-10 //// //// ////
2010-07-11 //// //// ////
2010-07-12 //// //// ////
2010-07-13 //// //// ////
2010-07-14 //// //// ////
2010-07-15 //// //// ////
2010-07-16 //// //// ////
2010-07-17 //// //// ////
2010-07-18 //// //// ////
2010-07-19 //// //// ////
2010-07-20 //// 0001 0001
2010-07-21 //// //// ////
2010-07-22 //// //// ////
2010-07-23 //// //// ////
2010-07-24 //// //// ////
2010-07-25 //// //// ////
2010-07-26 //// //// ////
2010-07-27 //// //// ////
2010-07-28 //// //// ////
2010-07-29 //// //// ////
2010-07-30 //// //// ////
2010-07-31 //// //// ////
