2011-04-19 0000 //// ////
2011-04-20 0 7 7
2011-04-21 1 0 1
2011-04-22 0 0 0
2011-04-23 0 0 0
2011-04-24 0 0 0
2011-04-25 0 0 0
2011-04-26 0 0 0
2011-04-27 0 0 0
2011-04-28 0 0 0
2011-04-29 0 0 0
2011-04-30 0 0 0
2012-04-01 0 0 0
2012-04-02 0 0 0
2012-04-03 0 0 0
2012-04-04 //// 0000 ////
2012-04-05 //// //// ////
2012-04-06 0 0 0
2012-04-07 0 0 0
2012-04-08 0 0 0
2012-04-09 //// 0003 0003
2012-04-10 0 0 0
2012-04-11 0000 //// ////
2012-04-12 5 5 10
2012-04-13 0 0 0
2012-04-14 //// //// ////
2012-04-15 0 0 0
2012-04-16 0 0 0
2012-04-17 0 0 0
2012-04-18 0 0 0
2012-04-19 0 0 0
2012-04-20 0 0 0
2012-04-21 0 0 0
2012-04-22 0 0 0
2012-04-23 0 0 0
2012-04-24 222 24 246
2012-04-25 4 3 7
2012-04-26 0 0 0
2012-04-27 0 0 0
2012-04-28 0 0 0
2012-04-29 0 0 0
2012-04-30 0 0 0
2012-05-01 2 1 3
2012-05-02 0 0 0
2012-05-03 0 0 0
2012-05-04 0 0 0
2012-05-05 0 0 0
2012-05-06 0 0 0
2012-05-07 2 0 2
2012-05-08 0 0 0
2012-05-09 0 0 0
2012-05-10 0 0 0
2012-05-11 0000 //// ////
2012-05-12 63 4 67
2012-05-13 2 1 3
2012-05-14 1 0 1
2012-05-15 1 0 1
2012-05-16 0 0 0
2012-05-17 0 0 0
2012-05-18 0000 //// ////
2012-05-19 //// 0000 ////
2012-05-20 0 0 0
2012-05-21 0 0 0
2012-05-22 0 8 8
2012-05-23 1 0 1
2012-05-24 0 6 6
2012-05-25 0 0 0
2012-05-26 0 0 0
2012-05-27 0 0 0
2012-05-28 0 0 0
2012-05-29 52 19 71
2012-05-30 1 0 1
2012-05-31 1 0 1
2012-06-01 1 0 1
2012-06-02 0000 //// ////
2012-06-03 0 0 0
2012-06-04 0 0 0
2012-06-05 0000 //// ////
2012-06-06 0006 //// 0006
2012-06-07 0 0 0
2012-06-08 0 0 0
2012-06-09 0 0 0
2012-06-10 0 5 5
2012-06-11 0 0 0
2012-06-12 0 0 0
2012-06-13 0000 //// ////
2012-06-14 0000 //// ////
2012-06-15 0 0 0
2012-06-16 0 0 0
2012-06-17 0 0 0
2012-06-18 //// 0000 ////
2012-06-19 0 20 20
2012-06-20 4 3 7
2012-06-21 0 0 0
2012-06-22 0 0 0
2012-06-23 0 0 0
2012-06-24 0 18 18
2012-06-25 4 308 312
2012-06-26 20 4 24
2012-06-27 8 3 11
2012-06-28 3 3 6
2012-06-29 5 38 43
2012-06-30 62 17 79
